texto,id,preds,probs
E OFICINA DE SERVICIO DE INGRESO DE DATOS DE CLIENTES A SISTEMA DE LA EMPRESA DE COMPUITACION,183811,10.0,0.6394486427307129
SERVICIO DE ALOJAMIENTO Y GASTRONOMICO,21168,7.0,0.9658688902854919
VENTA DE VACUNOS POR MAYOR,60541,2.0,0.8491499423980713
SERVICIO DE  PINTURA CON BROCHA  GORDA  A DOMICILIO,171029,19.0,0.9606245756149292
CULTIVO  DE  CLAVELES  BAJO  NAVE,53397,9.0,0.9775888919830322
SERVICIO DE CLASES PARTICULARES A DOMICILIO DE LENGUAJE Y MATEMATICA EDUCACION BASICA,163993,18.0,0.9691233038902283
BANCO PRIVADO,42102,6.0,0.9452895522117615
ELABORACION DE MASAS DULCES Y SALADAS A BASE DE HARINA DE TRIGO,138562,15.0,0.9284452795982361
SERVICIO DE REPARTOSY ENTREGA DE CORRESPONDENCIAS CARGA Y ENCOMIENDAS A DESTINATARIOS VIA TERRESTRE CONSECIONARIA,180001,11.0,0.9732186794281006
"VENTA DE PERFUMES , LAPIZ LABIAL PINTURAS DE UÑAS POR MENOR",106748,2.0,0.9792491793632507
SERVICIOS  SOCIALES  CERTIFICACION  DE  SUELOS  MUESTRAS  DE  FIERROS  SUELOS  A  DISTINTAS  EMPRESAS  CONSTRUCTORAS,112448,8.0,0.936768651008606
PREPARACION DE  SANDWICH PARA  SU POSTERIOR  VENTA EN FORMA  AMBULANTE  X  MENOR,137733,7.0,0.8916035890579224
IMPARTIR EDUCACION BASICA Y MEDIO TECNICO PROFESIONAL,163441,18.0,0.9729838967323303
EDIFICIO   COMERCIAL,10924,13.0,0.9341731071472168
OFICINA   DE   ABOGADOS,43276,8.0,0.9539552330970764
MUNICIPALIDAD,6897,14.0,0.9783585667610168
"ARREGLO DE  MAQUINARIA AGRICOLA TALLER MECANICO TRACTORES TRILLADORAS, MAQUINAS DE CORTAR PASTO A MOTOR",176634,15.0,0.6898733973503113
APUESTAS DE CARRERA DE CABALLOS ( CLUB HÍPICO ),23896,5.0,0.9162762761116028
PRE KINDER KINDER EDUCACION BASICA,5805,18.0,0.9737709164619446
CONFECCION   DE  MUEBLES   EN  MADERA  NATIVA,121075,15.0,0.9650287628173828
"VENTA AL POR MENOR DE BEBIDAS TE CAFE, COMIDA RAPIDA",483,7.0,0.9431625008583069
ATENCION DE SALUD CON HOSPITALIZACION,67773,1.0,0.9519436955451965
PACKING EXPORTADOR DE MANZAS DESHIDRATADA CON FRUTAS COMPRADAS,144139,9.0,0.5976110696792603
FUERZA  AEREA  DE  CHILE,122826,14.0,0.9746631383895874
CULTIVO TOMATES OLIVOS MORRON,46041,9.0,0.9758273363113403
CULTIVO DE MANZANAS,62871,9.0,0.9771745800971985
LOCAL VENTA DE ABARROTES AL DETALLE,87512,2.0,0.9831121563911438
EXTRACCION DE COBRE,16351,3.0,0.9498627185821533
MINISTERIO DE EDUCACION,129525,14.0,0.9750672578811646
EMPRESA CONSTRUCTORA DE VIVIENDAS,132427,19.0,0.9757670760154724
MUNICIPALIDAD   (PRO - EMPLEO),158671,14.0,0.9752505421638489
FABRICA DE HELADOS DE FRUTA DE LECHE,143142,15.0,0.915110170841217
FABRICACION  DE  MUEBLES  A  PEDIDO  SILLAS  Y  CAMAROTES,108217,15.0,0.9690268635749817
INDUSTRIA PRODUCTOS LACTEOS LECHES YOGURT,87807,15.0,0.9648642539978027
CAPTACION PURIFICACION Y DISTRIBUCION DE AGUA POTABLE,54144,12.0,0.9071323275566101
EMPRESA DISTRIBUIDORA DE CARNE DE VACUNO,151661,2.0,0.9692463278770447
MUNICIPALIDAD   DE  LA REINA,129126,14.0,0.9782626628875732
JARDIN Y SALA CUNA DE 0 - 4 AÑOS,71964,18.0,0.9683992862701416
CULTIVO PALTAS A CAMPO ABIERTO,181821,9.0,0.9775897860527039
CONFECCION DE DELANTALES DE COCINA PARA LA VENTA. COMERCIO MINORISTA,22990,15.0,0.9079859256744385
"SERVICIO DE CONSTRUCCION, REPARACION  Y  MANTENCION DE VIVIENDAS PARTICULARES",35100,19.0,0.9642626643180847
PRODUCCION DE LECHE CRUDA DE VACA,74147,9.0,0.9581694602966309
ELABORACION DE EMPANADAS FRITAS DE MARISCOS,89837,7.0,0.6659997701644897
BANCO PRIVADO,11756,6.0,0.9452895522117615
SERVICIO DE MANTENCION A REDES INFORMATICAS Y CREACION DE PROGRAMAS A DIFERENTES EMPRESAS (SOFTWARE),66085,16.0,0.9229622483253479
TRANSPORTE DE PASAJEROS  VIA TERRESTRE URBANO (TAXI),131626,11.0,0.9718649983406067
TRAMITACION DE DOCUMENTACION ADUANERA,53882,11.0,0.9522830247879028
OBRAS MENORES EN VIVIENDAS,127341,19.0,0.969769299030304
FUNDO AGRICOLA PRODUCTOS DE UVA DE EXPORTACION VENTA X MAYOR,13544,9.0,0.9520468711853027
"ENSEÑANZA EDUC. PRE BASICA , BASICA Y MEDIA COMUN",19364,18.0,0.9749241471290588
E°  PRODUCTORA  Y ELABORADORA  DE  QUESOS  Y VENTA  DE  LECHE  DE  CABRA VENTAS  AL  DETALLE  Y POR  MAYOR,163783,15.0,0.7299288511276245
SERVICIOS DE OBRAS MENORES (REPARACION DE CASAS),15633,19.0,0.9723615646362305
MUNICIPALIDAD DE EL TABO,4121,14.0,0.9744873046875
CULTIVO DE ARBOLES FRUTALES PAPAYAS CHIRIMOYAS DURAZNOS NISPEROS UVAS PERA Y CRIANZA DE GALLINAS,142777,9.0,0.9748696684837341
SUPERMERCADO   VENTA  AL POR MENOR,85896,2.0,0.9823485016822815
VENTA  DE  ABARROTES  AL POR  MENOR,134557,2.0,0.9830393195152283
SERVICIO DE COOPERACION  TEC. DEL ESTADO  SE DEDICA  A PROMOVER EL DESARROLLO  DE LOS MICROS Y PEQUEÑOS E°  CAPACITACIONES EN GE,26324,8.0,0.4157472252845764
"EMPRESA TELECOMUNICACIONES ; TELEFONIA MOVIL, FIJA, TELEVISION CABLE, INTERNET",178198,16.0,0.9342098236083984
IMP.  Y COM.  DE ZAPATOS   ZAPATILLAS AL  POR  MENOR,149467,2.0,0.9599646329879761
REPARTO Y VENTA DE LEÑA AL DETALLE,44768,2.0,0.7555056214332581
PRODUCCION DE MANZANAS PAR EXPORTACION,72738,9.0,0.9698163866996765
RESTAURACION  Y  REPARACION   Y  ESTRUCTURAS  PLASTICAS   PARA   JAULAS   DE  SALMONES  Y  BOYAS,77421,19.0,0.4811806082725525
VENTA DE ABARROTES AL POR MENOR,95371,2.0,0.9830393195152283
I. MUNICIPALIDAD DE GORBEA - DEPTO DE SALUD MUNICIPAL,117653,14.0,0.9721792340278625
JARDIN INFANTIL JUNJI,52083,18.0,0.9727141261100769
CORPORACION MUNICIPAL DE EDUCACION  Y  ATENCION AL MENOR,182649,14.0,0.9428659081459045
CADENA  DE TIENDAS  DE ROPA DEPRTIVA  POLERAS  BUZOS  ETC POR  MENOR,127465,2.0,0.9742105007171631
CONSULTA DE CLIENTES EN ATENCION DE SALUD,163398,1.0,0.9477513432502747
P/S  DISEÑO  GRAFICO   IMAGEN   DE MARCA,129461,8.0,0.9441640973091125
COMPRA Y VENTA DE SAUCO Y MOSQUETA (FRUTOS SILVESTRES) PARA VENTA POR MENOR Y MAYOR,72230,2.0,0.9496975541114807
SERVICIO DE REPARACIONES DE VEHICULOS A PARTICULARES,18703,2.0,0.980857253074646
"VENTA DE ABARROTES, VINOS, LICORES, BEBIDAS, CONFITES, CARNICERIA. POR MENOR",76788,2.0,0.9820542335510254
MANTENCION  DEL  ORDEN  PUBLICO  Y  E  SEGURIDAD  .  ACTIVIDADES GENDARMERIA  DE  CHILE,75680,14.0,0.9706646203994751
SERVICIO DE JARDINERIA A PARTICULARES,166847,10.0,0.9455525875091553
MINERIA EXTRACCION  DE COBRE,148622,3.0,0.9491993188858032
VENTAS AL DETALLE DE AUTOMOVILES  Y  MANTENCION ESTETICA  Y  MECANICA DE VEHICULOS,108844,2.0,0.9831362366676331
