,texto,id,preds,probs
163993,SERVICIO DE CLASES PARTICULARES A DOMICILIO DE LENGUAJE Y MATEMATICA EDUCACION BASICA,163993,16.0,0.9999995669964729
42102,BANCO PRIVADO,42102,11.0,0.9943198039538564
138562,ELABORACION DE MASAS DULCES Y SALADAS A BASE DE HARINA DE TRIGO,138562,3.0,0.9918078047384147
180001,SERVICIO DE REPARTOSY ENTREGA DE CORRESPONDENCIAS CARGA Y ENCOMIENDAS A DESTINATARIOS VIA TERRESTRE CONSECIONARIA,180001,8.0,0.9999940688928713
106748,"VENTA DE PERFUMES , LAPIZ LABIAL PINTURAS DE UÑAS POR MENOR",106748,7.0,0.9846715501341236
112448,SERVICIOS  SOCIALES  CERTIFICACION  DE  SUELOS  MUESTRAS  DE  FIERROS  SUELOS  A  DISTINTAS  EMPRESAS  CONSTRUCTORAS,112448,13.0,0.9993892045047976
137733,PREPARACION DE  SANDWICH PARA  SU POSTERIOR  VENTA EN FORMA  AMBULANTE  X  MENOR,137733,9.0,0.9900240498275642
163441,IMPARTIR EDUCACION BASICA Y MEDIO TECNICO PROFESIONAL,163441,16.0,0.9999982744723649
10924,EDIFICIO   COMERCIAL,10924,12.0,0.8869820611476648
43276,OFICINA   DE   ABOGADOS,43276,13.0,0.9669477024394292
6897,MUNICIPALIDAD,6897,15.0,0.9845515394912127
176634,"ARREGLO DE  MAQUINARIA AGRICOLA TALLER MECANICO TRACTORES TRILLADORAS, MAQUINAS DE CORTAR PASTO A MOTOR",176634,7.0,0.7500368507308478
23896,APUESTAS DE CARRERA DE CABALLOS ( CLUB HÍPICO ),23896,18.0,0.9923423864846118
5805,PRE KINDER KINDER EDUCACION BASICA,5805,16.0,0.9999564482336992
121075,CONFECCION   DE  MUEBLES   EN  MADERA  NATIVA,121075,3.0,0.9981128020748748
483,"VENTA AL POR MENOR DE BEBIDAS TE CAFE, COMIDA RAPIDA",483,9.0,0.9999989471206744
67773,ATENCION DE SALUD CON HOSPITALIZACION,67773,17.0,0.9964615585386433
144139,PACKING EXPORTADOR DE MANZAS DESHIDRATADA CON FRUTAS COMPRADAS,144139,1.0,0.4093452524977258
122826,FUERZA  AEREA  DE  CHILE,122826,15.0,0.9891585043807829
46041,CULTIVO TOMATES OLIVOS MORRON,46041,1.0,0.9949261951985962
62871,CULTIVO DE MANZANAS,62871,1.0,0.9934742079043312
87512,LOCAL VENTA DE ABARROTES AL DETALLE,87512,7.0,0.9951065710369162
16351,EXTRACCION DE COBRE,16351,2.0,0.999539887273541
129525,MINISTERIO DE EDUCACION,129525,15.0,0.9893600506676008
132427,EMPRESA CONSTRUCTORA DE VIVIENDAS,132427,6.0,0.9966101764950616
158671,MUNICIPALIDAD   (PRO - EMPLEO),158671,15.0,0.994026833957866
143142,FABRICA DE HELADOS DE FRUTA DE LECHE,143142,3.0,0.9946536778246006
108217,FABRICACION  DE  MUEBLES  A  PEDIDO  SILLAS  Y  CAMAROTES,108217,3.0,0.9889818309732218
87807,INDUSTRIA PRODUCTOS LACTEOS LECHES YOGURT,87807,3.0,0.7028655748296693
54144,CAPTACION PURIFICACION Y DISTRIBUCION DE AGUA POTABLE,54144,5.0,0.9962765603766851
151661,EMPRESA DISTRIBUIDORA DE CARNE DE VACUNO,151661,7.0,0.9211591482777584
129126,MUNICIPALIDAD   DE  LA REINA,129126,15.0,0.993950332411903
71964,JARDIN Y SALA CUNA DE 0 - 4 AÑOS,71964,16.0,0.999820357188685
181821,CULTIVO PALTAS A CAMPO ABIERTO,181821,1.0,0.9991419476151058
22990,CONFECCION DE DELANTALES DE COCINA PARA LA VENTA. COMERCIO MINORISTA,22990,3.0,0.965228208721811
35100,"SERVICIO DE CONSTRUCCION, REPARACION  Y  MANTENCION DE VIVIENDAS PARTICULARES",35100,6.0,0.9987831875198488
74147,PRODUCCION DE LECHE CRUDA DE VACA,74147,1.0,0.9903926448646385
89837,ELABORACION DE EMPANADAS FRITAS DE MARISCOS,89837,9.0,0.6334417010344268
11756,BANCO PRIVADO,11756,11.0,0.9943198039538564
66085,SERVICIO DE MANTENCION A REDES INFORMATICAS Y CREACION DE PROGRAMAS A DIFERENTES EMPRESAS (SOFTWARE),66085,10.0,0.9999828972457092
131626,TRANSPORTE DE PASAJEROS  VIA TERRESTRE URBANO (TAXI),131626,8.0,0.9999872461498589
53882,TRAMITACION DE DOCUMENTACION ADUANERA,53882,8.0,0.9793634723514373
127341,OBRAS MENORES EN VIVIENDAS,127341,6.0,0.9841952804530893
13544,FUNDO AGRICOLA PRODUCTOS DE UVA DE EXPORTACION VENTA X MAYOR,13544,1.0,0.9678171968175453
19364,"ENSEÑANZA EDUC. PRE BASICA , BASICA Y MEDIA COMUN",19364,16.0,0.9999999254287342
163783,E°  PRODUCTORA  Y ELABORADORA  DE  QUESOS  Y VENTA  DE  LECHE  DE  CABRA VENTAS  AL  DETALLE  Y POR  MAYOR,163783,1.0,0.7225027770237303
15633,SERVICIOS DE OBRAS MENORES (REPARACION DE CASAS),15633,6.0,0.9972914411557268
4121,MUNICIPALIDAD DE EL TABO,4121,15.0,0.9968425056478615
142777,CULTIVO DE ARBOLES FRUTALES PAPAYAS CHIRIMOYAS DURAZNOS NISPEROS UVAS PERA Y CRIANZA DE GALLINAS,142777,1.0,0.9999482951276814
85896,SUPERMERCADO   VENTA  AL POR MENOR,85896,7.0,0.9965293007257253
134557,VENTA  DE  ABARROTES  AL POR  MENOR,134557,7.0,0.9930953545349929
26324,SERVICIO DE COOPERACION  TEC. DEL ESTADO  SE DEDICA  A PROMOVER EL DESARROLLO  DE LOS MICROS Y PEQUEÑOS E°  CAPACITACIONES EN GE,26324,13.0,0.29940468457857766
178198,"EMPRESA TELECOMUNICACIONES ; TELEFONIA MOVIL, FIJA, TELEVISION CABLE, INTERNET",178198,10.0,0.9999978339856332
149467,IMP.  Y COM.  DE ZAPATOS   ZAPATILLAS AL  POR  MENOR,149467,7.0,0.9551422441033961
44768,REPARTO Y VENTA DE LEÑA AL DETALLE,44768,7.0,0.9649050273833375
72738,PRODUCCION DE MANZANAS PAR EXPORTACION,72738,1.0,0.9382677457461149
77421,RESTAURACION  Y  REPARACION   Y  ESTRUCTURAS  PLASTICAS   PARA   JAULAS   DE  SALMONES  Y  BOYAS,77421,3.0,0.7850201458653051
95371,VENTA DE ABARROTES AL POR MENOR,95371,7.0,0.9930953545349929
117653,I. MUNICIPALIDAD DE GORBEA - DEPTO DE SALUD MUNICIPAL,117653,15.0,0.9990086643819669
52083,JARDIN INFANTIL JUNJI,52083,16.0,0.9964347460386159
182649,CORPORACION MUNICIPAL DE EDUCACION  Y  ATENCION AL MENOR,182649,15.0,0.9570708940448664
127465,CADENA  DE TIENDAS  DE ROPA DEPRTIVA  POLERAS  BUZOS  ETC POR  MENOR,127465,7.0,0.9361485824173215
163398,CONSULTA DE CLIENTES EN ATENCION DE SALUD,163398,17.0,0.9960737447077257
129461,P/S  DISEÑO  GRAFICO   IMAGEN   DE MARCA,129461,13.0,0.9713102229452373
72230,COMPRA Y VENTA DE SAUCO Y MOSQUETA (FRUTOS SILVESTRES) PARA VENTA POR MENOR Y MAYOR,72230,7.0,0.9447756790008811
18703,SERVICIO DE REPARACIONES DE VEHICULOS A PARTICULARES,18703,7.0,0.9145097803670774
76788,"VENTA DE ABARROTES, VINOS, LICORES, BEBIDAS, CONFITES, CARNICERIA. POR MENOR",76788,7.0,0.999998214817393
75680,MANTENCION  DEL  ORDEN  PUBLICO  Y  E  SEGURIDAD  .  ACTIVIDADES GENDARMERIA  DE  CHILE,75680,15.0,0.9999153357506549
166847,SERVICIO DE JARDINERIA A PARTICULARES,166847,14.0,0.9509276869051825
148622,MINERIA EXTRACCION  DE COBRE,148622,2.0,0.9999466109468831
108844,VENTAS AL DETALLE DE AUTOMOVILES  Y  MANTENCION ESTETICA  Y  MECANICA DE VEHICULOS,108844,7.0,0.9999939327565069
