texto,id,preds,probs
"VENTA DE PERFUMES , LAPIZ LABIAL PINTURAS DE UÑAS POR MENOR",106748,1,0.9644683599472046
SERVICIOS  SOCIALES  CERTIFICACION  DE  SUELOS  MUESTRAS  DE  FIERROS  SUELOS  A  DISTINTAS  EMPRESAS  CONSTRUCTORAS,112448,18,0.67057865858078
PREPARACION DE  SANDWICH PARA  SU POSTERIOR  VENTA EN FORMA  AMBULANTE  X  MENOR,137733,3,0.8027268648147583
IMPARTIR EDUCACION BASICA Y MEDIO TECNICO PROFESIONAL,163441,59,0.961503803730011
EDIFICIO   COMERCIAL,10924,27,0.8469892144203186
OFICINA   DE   ABOGADOS,43276,22,0.8744308352470398
MUNICIPALIDAD,6897,82,0.9438021779060364
"ARREGLO DE  MAQUINARIA AGRICOLA TALLER MECANICO TRACTORES TRILLADORAS, MAQUINAS DE CORTAR PASTO A MOTOR",176634,56,0.3379100263118744
APUESTAS DE CARRERA DE CABALLOS ( CLUB HÍPICO ),23896,21,0.4742821156978607
PRE KINDER KINDER EDUCACION BASICA,5805,59,0.9603544473648071
CONFECCION   DE  MUEBLES   EN  MADERA  NATIVA,121075,73,0.8007979393005371
"VENTA AL POR MENOR DE BEBIDAS TE CAFE, COMIDA RAPIDA",483,3,0.8792923092842102
ATENCION DE SALUD CON HOSPITALIZACION,67773,39,0.9129875302314758
PACKING EXPORTADOR DE MANZAS DESHIDRATADA CON FRUTAS COMPRADAS,144139,56,0.8970013856887817
FUERZA  AEREA  DE  CHILE,122826,82,0.9437766671180725
CULTIVO TOMATES OLIVOS MORRON,46041,56,0.935300350189209
CULTIVO DE MANZANAS,62871,56,0.932931661605835
LOCAL VENTA DE ABARROTES AL DETALLE,87512,1,0.9634186029434204
EXTRACCION DE COBRE,16351,86,0.913165807723999
MINISTERIO DE EDUCACION,129525,82,0.9391183257102966
EMPRESA CONSTRUCTORA DE VIVIENDAS,132427,77,0.9342246651649475
MUNICIPALIDAD   (PRO - EMPLEO),158671,82,0.940432071685791
FABRICA DE HELADOS DE FRUTA DE LECHE,143142,10,0.89699387550354
FABRICACION  DE  MUEBLES  A  PEDIDO  SILLAS  Y  CAMAROTES,108217,73,0.8079800605773926
INDUSTRIA PRODUCTOS LACTEOS LECHES YOGURT,87807,10,0.9265634417533875
CAPTACION PURIFICACION Y DISTRIBUCION DE AGUA POTABLE,54144,74,0.8171294927597046
EMPRESA DISTRIBUIDORA DE CARNE DE VACUNO,151661,1,0.9439064264297485
MUNICIPALIDAD   DE  LA REINA,129126,82,0.9428421258926392
JARDIN Y SALA CUNA DE 0 - 4 AÑOS,71964,59,0.9594472050666809
CULTIVO PALTAS A CAMPO ABIERTO,181821,56,0.9316434264183044
CONFECCION DE DELANTALES DE COCINA PARA LA VENTA. COMERCIO MINORISTA,22990,85,0.3519468903541565
"SERVICIO DE CONSTRUCCION, REPARACION  Y  MANTENCION DE VIVIENDAS PARTICULARES",35100,77,0.9221885800361633
PRODUCCION DE LECHE CRUDA DE VACA,74147,56,0.9331016540527344
ELABORACION DE EMPANADAS FRITAS DE MARISCOS,89837,10,0.8425639271736145
BANCO PRIVADO,11756,35,0.8814134001731873
SERVICIO DE MANTENCION A REDES INFORMATICAS Y CREACION DE PROGRAMAS A DIFERENTES EMPRESAS (SOFTWARE),66085,92,0.8512210249900818
TRANSPORTE DE PASAJEROS  VIA TERRESTRE URBANO (TAXI),131626,71,0.9243615865707397
TRAMITACION DE DOCUMENTACION ADUANERA,53882,81,0.8532702326774597
OBRAS MENORES EN VIVIENDAS,127341,53,0.6047541499137878
FUNDO AGRICOLA PRODUCTOS DE UVA DE EXPORTACION VENTA X MAYOR,13544,56,0.9289775490760803
"ENSEÑANZA EDUC. PRE BASICA , BASICA Y MEDIA COMUN",19364,59,0.9613267183303833
E°  PRODUCTORA  Y ELABORADORA  DE  QUESOS  Y VENTA  DE  LECHE  DE  CABRA VENTAS  AL  DETALLE  Y POR  MAYOR,163783,56,0.6218595504760742
SERVICIOS DE OBRAS MENORES (REPARACION DE CASAS),15633,53,0.5141709446907043
MUNICIPALIDAD DE EL TABO,4121,82,0.9412591457366943
CULTIVO DE ARBOLES FRUTALES PAPAYAS CHIRIMOYAS DURAZNOS NISPEROS UVAS PERA Y CRIANZA DE GALLINAS,142777,56,0.9164938926696777
SUPERMERCADO   VENTA  AL POR MENOR,85896,1,0.9651250243186951
VENTA  DE  ABARROTES  AL POR  MENOR,134557,1,0.9638766646385193
SERVICIO DE COOPERACION  TEC. DEL ESTADO  SE DEDICA  A PROMOVER EL DESARROLLO  DE LOS MICROS Y PEQUEÑOS E°  CAPACITACIONES EN GE,26324,59,0.6856096982955933
"EMPRESA TELECOMUNICACIONES ; TELEFONIA MOVIL, FIJA, TELEVISION CABLE, INTERNET",178198,24,0.887103259563446
IMP.  Y COM.  DE ZAPATOS   ZAPATILLAS AL  POR  MENOR,149467,1,0.9608823657035828
REPARTO Y VENTA DE LEÑA AL DETALLE,44768,1,0.49411633610725403
PRODUCCION DE MANZANAS PAR EXPORTACION,72738,56,0.9332431554794312
RESTAURACION  Y  REPARACION   Y  ESTRUCTURAS  PLASTICAS   PARA   JAULAS   DE  SALMONES  Y  BOYAS,77421,53,0.3835161328315735
VENTA DE ABARROTES AL POR MENOR,95371,1,0.9638766646385193
I. MUNICIPALIDAD DE GORBEA - DEPTO DE SALUD MUNICIPAL,117653,82,0.9417536854743958
JARDIN INFANTIL JUNJI,52083,59,0.9607478976249695
CORPORACION MUNICIPAL DE EDUCACION  Y  ATENCION AL MENOR,182649,82,0.9061317443847656
CADENA  DE TIENDAS  DE ROPA DEPRTIVA  POLERAS  BUZOS  ETC POR  MENOR,127465,1,0.9624040126800537
CONSULTA DE CLIENTES EN ATENCION DE SALUD,163398,39,0.9003697633743286
P/S  DISEÑO  GRAFICO   IMAGEN   DE MARCA,129461,97,0.39871731400489807
COMPRA Y VENTA DE SAUCO Y MOSQUETA (FRUTOS SILVESTRES) PARA VENTA POR MENOR Y MAYOR,72230,1,0.9277990460395813
SERVICIO DE REPARACIONES DE VEHICULOS A PARTICULARES,18703,88,0.9141808748245239
"VENTA DE ABARROTES, VINOS, LICORES, BEBIDAS, CONFITES, CARNICERIA. POR MENOR",76788,1,0.9655319452285767
MANTENCION  DEL  ORDEN  PUBLICO  Y  E  SEGURIDAD  .  ACTIVIDADES GENDARMERIA  DE  CHILE,75680,82,0.9406254887580872
SERVICIO DE JARDINERIA A PARTICULARES,166847,93,0.8940044045448303
MINERIA EXTRACCION  DE COBRE,148622,86,0.908483624458313
VENTAS AL DETALLE DE AUTOMOVILES  Y  MANTENCION ESTETICA  Y  MECANICA DE VEHICULOS,108844,88,0.9114375710487366
