,texto,id,preds,probs
5805,PRE KINDER KINDER EDUCACION BASICA,5805,85,0.9999941022468211
121075,CONFECCION   DE  MUEBLES   EN  MADERA  NATIVA,121075,31,0.9656092326590646
483,"VENTA AL POR MENOR DE BEBIDAS TE CAFE, COMIDA RAPIDA",483,56,0.9983029652687198
67773,ATENCION DE SALUD CON HOSPITALIZACION,67773,86,0.9981629219661297
144139,PACKING EXPORTADOR DE MANZAS DESHIDRATADA CON FRUTAS COMPRADAS,144139,1,0.7244967098475144
122826,FUERZA  AEREA  DE  CHILE,122826,84,0.99657620159011
46041,CULTIVO TOMATES OLIVOS MORRON,46041,1,0.9999572430599578
62871,CULTIVO DE MANZANAS,62871,1,0.9934247189102405
87512,LOCAL VENTA DE ABARROTES AL DETALLE,87512,48,0.9988373059655974
16351,EXTRACCION DE COBRE,16351,4,0.9996503682177181
129525,MINISTERIO DE EDUCACION,129525,84,0.9949633647037871
132427,EMPRESA CONSTRUCTORA DE VIVIENDAS,132427,41,0.995012209361251
158671,MUNICIPALIDAD   (PRO - EMPLEO),158671,84,0.9944183708052212
143142,FABRICA DE HELADOS DE FRUTA DE LECHE,143142,10,0.9664556057451997
108217,FABRICACION  DE  MUEBLES  A  PEDIDO  SILLAS  Y  CAMAROTES,108217,31,0.9994936208582622
87807,INDUSTRIA PRODUCTOS LACTEOS LECHES YOGURT,87807,10,0.9898081351590772
54144,CAPTACION PURIFICACION Y DISTRIBUCION DE AGUA POTABLE,54144,36,0.9997552559405259
151661,EMPRESA DISTRIBUIDORA DE CARNE DE VACUNO,151661,48,0.8610354093932019
129126,MUNICIPALIDAD   DE  LA REINA,129126,84,0.9955136331934705
71964,JARDIN Y SALA CUNA DE 0 - 4 AÑOS,71964,85,0.9946154737600617
181821,CULTIVO PALTAS A CAMPO ABIERTO,181821,1,0.9998625735026831
22990,CONFECCION DE DELANTALES DE COCINA PARA LA VENTA. COMERCIO MINORISTA,22990,14,0.7317655153315749
35100,"SERVICIO DE CONSTRUCCION, REPARACION  Y  MANTENCION DE VIVIENDAS PARTICULARES",35100,41,0.8822958847824064
74147,PRODUCCION DE LECHE CRUDA DE VACA,74147,1,0.9959400438603262
89837,ELABORACION DE EMPANADAS FRITAS DE MARISCOS,89837,56,0.656636699162517
11756,BANCO PRIVADO,11756,64,0.9998742205206284
66085,SERVICIO DE MANTENCION A REDES INFORMATICAS Y CREACION DE PROGRAMAS A DIFERENTES EMPRESAS (SOFTWARE),66085,62,0.9949318310949533
131626,TRANSPORTE DE PASAJEROS  VIA TERRESTRE URBANO (TAXI),131626,49,0.9999783955486314
53882,TRAMITACION DE DOCUMENTACION ADUANERA,53882,52,0.9990363941407567
127341,OBRAS MENORES EN VIVIENDAS,127341,41,0.7045253399754878
13544,FUNDO AGRICOLA PRODUCTOS DE UVA DE EXPORTACION VENTA X MAYOR,13544,1,0.946583287806459
19364,"ENSEÑANZA EDUC. PRE BASICA , BASICA Y MEDIA COMUN",19364,85,0.9999999252813006
163783,E°  PRODUCTORA  Y ELABORADORA  DE  QUESOS  Y VENTA  DE  LECHE  DE  CABRA VENTAS  AL  DETALLE  Y POR  MAYOR,163783,10,0.6973552770747552
15633,SERVICIOS DE OBRAS MENORES (REPARACION DE CASAS),15633,41,0.7413195865145428
4121,MUNICIPALIDAD DE EL TABO,4121,84,0.9985786736136216
142777,CULTIVO DE ARBOLES FRUTALES PAPAYAS CHIRIMOYAS DURAZNOS NISPEROS UVAS PERA Y CRIANZA DE GALLINAS,142777,1,0.9999621506494059
85896,SUPERMERCADO   VENTA  AL POR MENOR,85896,48,0.9999048418357586
134557,VENTA  DE  ABARROTES  AL POR  MENOR,134557,48,0.9954419472325025
26324,SERVICIO DE COOPERACION  TEC. DEL ESTADO  SE DEDICA  A PROMOVER EL DESARROLLO  DE LOS MICROS Y PEQUEÑOS E°  CAPACITACIONES EN GE,26324,84,0.4664089174100709
178198,"EMPRESA TELECOMUNICACIONES ; TELEFONIA MOVIL, FIJA, TELEVISION CABLE, INTERNET",178198,61,0.9999990109941994
149467,IMP.  Y COM.  DE ZAPATOS   ZAPATILLAS AL  POR  MENOR,149467,48,0.9850939913305027
44768,REPARTO Y VENTA DE LEÑA AL DETALLE,44768,48,0.9618168984834662
72738,PRODUCCION DE MANZANAS PAR EXPORTACION,72738,1,0.9658487149471754
77421,RESTAURACION  Y  REPARACION   Y  ESTRUCTURAS  PLASTICAS   PARA   JAULAS   DE  SALMONES  Y  BOYAS,77421,3,0.727105734477249
95371,VENTA DE ABARROTES AL POR MENOR,95371,48,0.9954419472325025
117653,I. MUNICIPALIDAD DE GORBEA - DEPTO DE SALUD MUNICIPAL,117653,84,0.9997865917472774
52083,JARDIN INFANTIL JUNJI,52083,85,0.9990406956982293
182649,CORPORACION MUNICIPAL DE EDUCACION  Y  ATENCION AL MENOR,182649,84,0.580197167867522
127465,CADENA  DE TIENDAS  DE ROPA DEPRTIVA  POLERAS  BUZOS  ETC POR  MENOR,127465,48,0.9000086870889007
163398,CONSULTA DE CLIENTES EN ATENCION DE SALUD,163398,86,0.9579820994826761
129461,P/S  DISEÑO  GRAFICO   IMAGEN   DE MARCA,129461,73,0.7977234495426315
72230,COMPRA Y VENTA DE SAUCO Y MOSQUETA (FRUTOS SILVESTRES) PARA VENTA POR MENOR Y MAYOR,72230,2,0.525819808155367
18703,SERVICIO DE REPARACIONES DE VEHICULOS A PARTICULARES,18703,45,0.9704423283491864
76788,"VENTA DE ABARROTES, VINOS, LICORES, BEBIDAS, CONFITES, CARNICERIA. POR MENOR",76788,48,0.9999780943416205
75680,MANTENCION  DEL  ORDEN  PUBLICO  Y  E  SEGURIDAD  .  ACTIVIDADES GENDARMERIA  DE  CHILE,75680,84,0.9999834211699627
166847,SERVICIO DE JARDINERIA A PARTICULARES,166847,81,0.9997667647327619
148622,MINERIA EXTRACCION  DE COBRE,148622,4,0.9997263706512681
108844,VENTAS AL DETALLE DE AUTOMOVILES  Y  MANTENCION ESTETICA  Y  MECANICA DE VEHICULOS,108844,45,0.9995649710254322
