,texto_ciuo,id,preds,probs
48513,cajera,48513,4,0.5805947689597062
63695,operador maquina secadora madera,63695,8,0.648784237651984
6613,mecanico reparacion vehiculos,6613,7,0.9925070227221009
5191,vendedora exportadora importadora juguetes zofri vende ofrecer mercancia realizar inventarios cuadra caja,5191,5,0.9954246743312529
35589,personal aeropuerto,35589,4,0.6276476924116601
21062,operaria area reposteria cuarto frio caliente reponen vitrina confeccionar elaboracion pasteleria,21062,2,0.6236267773611615
63163,ayudante albañil,63163,9,0.9867319563199028
33642,cocinera preprar papas fritas,33642,9,0.5784682285245901
5669,jardinero jardinero areas verdes publicas riega siembra cortar limpia areas verdes,5669,6,0.9999998570973154
2338,mecanico industrial taller mecanico mantencion maquinas industriales,2338,7,0.9909246122020436
67169,encargada informatica se encarga recolectar internet reclamos institucion problemas funcionamiento escolares mecanicos bonos sueldos etc,67169,4,0.37658372466741075
3108,comerciante paqueteria atender local comercial rubro paqueteria,3108,5,0.9562336154343537
6376,gerente banco atender cartera empresas,6376,1,0.988817096818755
2493,transportista escolar traslado niños escuela,2493,8,0.9794436707048199
3822,auxiliar aseo lavado quirurgico dependencias teleton aseo lavado quirurgivo instalaciones oficinas juguetes terapia maquinas terapia,3822,9,0.9994590198862758
7316,dueña local comida rapida cocinar compras cobro almuerzo,7316,5,0.9558970003781294
61276,dueña empresa,61276,1,0.7410024437560777
28837,servicio agricola inspectora inspeciona fruta se va estados unidos,28837,9,0.5534849301024475
52391,vendedora,52391,5,0.7689882892214843
58286,comerciante feria,58286,5,0.7530507477019768
39534,educadora parvulo,39534,2,0.8811943789865482
9173,cajera metro part time fin semana realizar cargas tarjetas bip estaciones metro,9173,5,0.5863969147119407
15099,jefe empresa trabajo dedicado gestion empresa gestion cobros,15099,1,0.7268523830948536
836,musico banda bronce tocar variados istrumento,836,2,0.9998034350505806
44483,constructor civil,44483,2,0.9076135372585669
63258,cuidado adultor mayor,63258,5,0.8356128278221209
55096,ingeniero prevencion riesgo,55096,2,0.9763629596326526
51747,guardia seguridad,51747,5,0.999147746178279
59929,jefa personal,59929,1,0.33949892356201317
53141,vendedor mostrador terreno,53141,5,0.6145678029809836
61498,tecnico enfermeria,61498,3,0.9726115872697881
26567,paletizador robotico sella cajas fruta forma robotizada maquina industrial,26567,8,0.4870340227098148
60463,instalador piedras,60463,7,0.8575928946319848
37364,gasfiter viviendas particulares,37364,7,0.9988291037158936
42914,vendedor establecido,42914,5,0.7188254790702624
7097,trabajora social analista social criminal delitos comisaria,7097,2,0.7484288291977965
35243,tecnico parvulo,35243,3,0.987966682841713
12949,gerencia empresa servicio tecnica computacion gestion logistica,12949,3,0.463574799633053
29012,fruticultor plantando frutillales,29012,6,0.9984306399857071
68825,maestro marmolero hacer cubiertos cocina marmol hacer vanitorio,68825,7,0.9476208369092062
35082,panadero,35082,7,0.9934267521029856
27242,jefe tramitaciones permiso encargada permiso construccion arquitectura coordinacion permiso proyectos,27242,3,0.8236476299499098
35420,prevencionista riesgos,35420,2,0.6508925638778705
63856,buzo,63856,7,0.9687773200047338
35544,supervisor,35544,3,0.7251673127715778
34079,manipuladora alimentos cocina corta verduras lava frutas,34079,5,0.8103020188749946
52844,reponedor vendedor,52844,5,0.4931477496225873
61773,jornalero construccion,61773,9,0.9993485049796035
68001,secretaria pagarse recibos aguas del pueblo,68001,3,0.7744469927328016
18444,enfermera titulada atencion pacientes,18444,2,0.6954305458625113
1707,carnicero cortador desportador carnes atencion publico,1707,7,0.9993540871451576
17802,ejecutiva bancaria ejecutiva credito hipotecario,17802,3,0.990650623076089
6251,maestro construccion remodelacion liviana gruesa vivienda oficina,6251,7,0.9918881766192934
38828,tecnico enfermeria,38828,3,0.9726115872697881
62031,tesorera supervisora,62031,5,0.45777567059928465
25269,mani curista atencion clientas,25269,9,0.5495232919689762
18790,jornal construccion concretero enfierrador pintan empastador,18790,9,0.834961760900251
45974,asesora del hogar,45974,9,0.9863172328212721
58049,vendedor terreno,58049,3,0.8517423798259002
7478,asistente social atencion publico visitas terreno trabajo ministerio interior,7478,3,0.4006964601180666
65932,temporera agricola,65932,9,0.9999709696041014
55482,tecnico paramendico,55482,3,0.819804675168898
61056,vendedora ropa usada diversa mercadería reciclable,61056,5,0.5525408101162186
